lfdr,p_values
0.0,1.1211339034994e-311
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,1e-305
0.0,5.084856355428713e-275
0.0,1.2876338529362224e-240
0.0,5.849223279376946e-240
0.0,3.4922751263850583e-237
0.0,4.82089174794849e-235
0.0,1.8413359701161454e-231
0.0,3.993966762629986e-208
0.0,6.318048194276352e-193
0.0,2.985524510717158e-181
0.0,2.4645516438546455e-174
0.0,4.199543136095124e-174
0.0,3.262519810204793e-169
0.0,8.906432975909425e-143
0.0,2.4104500083257433e-140
0.0,5.195769215493393e-129
0.0,1.8523572376745524e-115
0.0,3.5181805276731713e-109
0.0,1.794713192945816e-103
0.0,3.542171774819012e-98
0.0,1.7380235747955284e-92
0.0,2.829096083595453e-86
0.0,1.862041270509521e-84
0.0,1.506251070858972e-75
0.0,9.527472867465709e-74
0.0,1.5062047107264556e-72
0.0,2.2306653024103622e-72
0.0,1.446282066836634e-69
0.0,3.960398626700991e-64
0.0,2.3095810820693273e-62
0.0,1.0261807585331004e-59
0.0,7.766041835973963e-59
0.0,2.442904610446154e-55
0.0,1.3556411681479567e-53
0.0,2.0770325178255187e-53
0.0,4.9201203625382005e-50
0.0,7.976399209391671e-47
0.0,6.629858483360101e-46
0.0,6.309820490858792e-45
0.0,6.634460478127049e-44
0.0,4.581960309562692e-43
0.0,7.070307948326575e-42
0.0,1.0559202820313739e-40
0.0,5.390112128482038e-36
0.0,1.7343299261951967e-34
0.0,2.0196106189398156e-34
0.0,5.880732205134713e-34
0.0,2.333414564704485e-33
0.0,1.2293348046198169e-31
0.0,2.80077001164364e-30
0.0,2.9916236785754156e-30
0.0,9.304690048977457e-30
0.0,6.219779338175126e-29
0.0,1.127414933343844e-28
0.0,3.2289430856063067e-28
0.0,1.337730944968252e-26
0.0,1.4837313932694237e-26
0.0,4.734695560123997e-26
0.0,1.1737785140223414e-25
0.0,9.172412988639094e-25
0.0,3.6522076108917485e-23
0.0,8.294830357554908e-23
0.0,1.3369953173549047e-22
0.0,2.9124842993979476e-22
0.0,9.95105880335258e-22
0.0,2.018806119418008e-20
0.0,3.051935713792687e-20
0.0,3.3665669674426917e-20
0.0,1.0498792057466515e-19
0.0,7.924167909738948e-19
0.0,3.2740171401075753e-17
0.0,1.1102230246251565e-16
