"alpha","FDR","power"
0.02,0,0
0.05,0,0.115207373271889
0.07,0,0.161290322580645
0.1,0,0.170506912442396
0.15,0.0806451612903226,0.262672811059908
0.2,0.131578947368421,0.304147465437788
0.25,0.134831460674157,0.354838709677419
0.3,0.168421052631579,0.36405529953917
0.35,0.20952380952381,0.382488479262673
0.4,0.253968253968254,0.433179723502304
0.45,0.291970802919708,0.447004608294931
0.5,0.331168831168831,0.474654377880184
0.55,0.387978142076503,0.516129032258065
0.6,0.45643153526971,0.603686635944701
0.65,0.478260869565217,0.608294930875576
0.7,0.49438202247191,0.622119815668203
0.75,0.51219512195122,0.645161290322581
0.8,0.631840796019901,0.682027649769585
0.85,0.780555555555556,0.728110599078341
0.9,0.884447674418605,0.732718894009217
0.95,0.888888888888889,0.732718894009217
1,0.888888888888889,0.732718894009217
